fill, algo, cache-misses:u, seconds time elapsed, seconds user, seconds sys
0.90,chaining,89710109,19.951156647,18.956592000,0.992039000
0.90,linear,191083922,13.823780802,13.638034000,0.184191000
0.90,quadratic,244286689,15.018168814,14.948557000,0.067984000
0.90,stl,486671894,58.539559713,57.338549000,1.195971000
0.75,chaining,70235299,15.664327450,15.022357000,0.639924000
0.75,linear,116445934,10.674064466,10.600464000,0.071976000
0.75,quadratic,132026892,11.594051336,11.516547000,0.076001000
0.75,stl,323272969,42.207622513,41.463560000,0.739915000
0.50,chaining,42919328,9.752008568,9.242677000,0.507918000
0.50,linear,53184110,6.777745885,6.720372000,0.056003000
0.50,quadratic,53091900,7.189548679,7.112129000,0.076001000
0.50,stl,247985318,30.355313532,29.843946000,0.508006000
0.25,chaining,19474567,4.478587488,4.237375000,0.239854000
0.25,linear,21371409,3.286837567,3.229596000,0.056028000
0.25,quadratic,21611295,3.369243860,3.300189000,0.068004000
0.25,stl,116342898,14.391662576,14.129699000,0.260034000
